Trs_Id,Agency_Type_Desc,Organization_Type_Desc,Fy_Month_Num,Fy_Day_Num,Fy_Year_Num,Company_Nm,Street1_Nm,Street2_Nm,City_Nm,State_Desc,Zip_Cd,Zip_4_Cd,Url_Cd,Ftavc_Cd,Logo_Cd,Service_Area,Service_Area_Population,Waiver_9_Req_Fl,Veh_Operated_Comment,Other_Url_Cd,Po_Box,Other_Cap_Use_Comment_Desc,Other_Option_B_Comment_Desc,Voluntary_Reporter_Fl,Operate_FGW_MBDO_Fl,Operate_FGW_MBPT_Fl,DUNS Number
6072,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,Ozark Regional Transit                                                                              ,2423 East Robinson Avenue                                                                           ,                                                                                                    ,Springdale                         ,AR                  ,72765,0785,www.ozark.org                                                                                       ,6263,ORT                      ,76,"172,500",N,                                                                                                                                                                                                        ,                                                                                                    ,785       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,110886673
6077,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Santa Fe Trails - City of Santa Fe                                                                  ,2931 Rufina Street                                                                                  ,                                                                                                    ,Santa Fe                           ,NM                  ,87507,    ,www.santafenm.gov                                                                                   ,2066,SFT                      ,41,"76,100",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,028506223
6080,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Terrebonne Parish Consolidated Government                                                           ,137 Intracoastal Drive                                                                              ,                                                                                                    ,Houma                              ,LA                  ,70361,6097,www.tpcg.org                                                                                        ,6043,Good Earth Transit       ,36,"56,613",Y,                                                                                                                                                                                                        ,                                                                                                    ,6097      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,045774333
6081,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,Longview Transit                                                                                    ,908 Pacific Ave Suite 200                                                                           ,                                                                                                    ,Longview                           ,TX                  ,75605,    ,www.longviewtransit.com                                                                             ,5029,LTMI                     ,44,"67,163",Y,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,075123521
6082,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,8,31,2010,The Gulf Coast Center                                                                               ,4352 E. F. Lowry Expressway                                                                         ,                                                                                                    ,Texas City                         ,TX                  ,77591,    ,www.gcmhmr.com                                                                                      ,5689,Connect Transit          ,"1,784","437,155",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,079391082
6084,11. Private provider reporting on behalf of a public entity                                                                                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,"Dallas - VPSI, Inc.                                                                                 ",624 Six Flags Drive                                                                                 ,Suite 220                                                                                           ,Arlington                          ,TX                  ,76011,    ,www.vpsiinc.com                                                                                     ,    ,                         ,294,"504,350",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,N,098675887
6086,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Fort Smith Transit                                                                                  ,6821 Jenny Lind                                                                                     ,                                                                                                    ,Fort Smith                         ,AR                  ,72902,1908,www.fortsmithar.gov                                                                                 ,5965,FST                      ,72,"80,268",N,                                                                                                                                                                                                        ,                                                                                                    ,1908      ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,071253793
6088,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Jefferson Parish Department of Transit Administration                                               ,21 Westbank Expressway                                                                              ,                                                                                                    ,Gretna                             ,LA                  ,70053,    ,www.jeffersontransit.org                                                                            ,1864,Jet                      ,94,"438,765",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y, ,Y,072630486
6089,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,City of Tyler                                                                                       ,210 E. Oakwood                                                                                      ,                                                                                                    ,Tyler                              ,TX                  ,75702,    ,www.tylertexas.com                                                                                  ,1556,COT                      ,53,"83,650",Y,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,137951732
6090,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Lower Rio Grande Valley Development Council                                                         ,311 North 15th Street                                                                               ,                                                                                                    ,McAllen                            ,TX                  ,78501,4705,www.lrgvdc.org                                                                                      ,1868,LRGVDC                   ,314,"576,800",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,010537520
6091,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12,31,2010,Hill Country Transit District                                                                       ,906 South High St.                                                                                  ,                                                                                                    ,San Saba                           ,TX                  ,76877,    ,www.takethehop.com                                                                                  ,5827,The Hop                  ,"8,426","395,300",N,                                                                                                                                                                                                        ,                                                                                                    ,217       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,039276212
6093,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,Texarkana Urban Transit District                                                                    ,818 Elm Street                                                                                      ,                                                                                                    ,Texarkana                          ,TX                  ,75501,    ,www.t-linebus.org                                                                                   ,5870,T Line                   ,36,"55,900",Y,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,062929187
6094,13. Other (Describe)                                                                                                                                  ,Public Agency or Authority that directly operates all transit services.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,6,30,2010,The Lawton Area Transit System                                                                      ,611 SW Bishop Road                                                                                  ,                                                                                                    ,Lawton                             ,OK                  ,73502,    ,www.ridelats.com                                                                                    ,1524,LATS                     ,42,"70,177",N,                                                                                                                                                                                                        ,                                                                                                    ,286       ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,074272865
6095,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,8,31,2010,Golden Crescent Regional Planning Commission                                                        ,"120 S. Main, Suite 210                                                                              ",                                                                                                    ,Victoria                           ,TX                  ,77901,    ,www.victoriatransit.org                                                                             ,5849,VICTORIA TRANSIT         ,30,"60,603",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,031630478
6096,5. University                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Cleveland Area Rapid Transit                                                                        ,731 Elm Avenue                                                                                      ,Robertson Hall 304                                                                                  , Norman                            ,OK                  ,73019,    ,www.ridecart.com                                                                                    ,6295,CART                     ,178,"96,782",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,848348348
6097,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,Midland-Odessa Urban Transit District                                                               ,8007 East Highway 80                                                                                ,                                                                                                    ,Odessa                             ,TX                  ,79765,    ,www.ez-rider.org                                                                                    ,6239,EZ RIDER                 ,37,"96,000",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,006734331
6099,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,City of McAllen - McAllen Express Transit                                                           ,1501 W. Buisness Hwy 83                                                                             ,                                                                                                    ,McAllen                            ,TX                  ,78501,    ,www.mcallen.net                                                                                     ,6454,MET                      ,49,"106,414",Y,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,083955245
6100,"3. City, County or Local government unit or department of                                                                                             ",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,6,30,2010,Red Apple Transit                                                                                   ,800 Municipal Drive                                                                                 ,                                                                                                    ,Farmington                         ,NM                  ,87401,    ,www.fmtn.org                                                                                        ,6268,COF                      ,40,"52,000",Y,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,080376346
6101,1. Independent public agency or authority for transit service                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,9,30,2010,Denton County Transportation Authority                                                              ,1660 S. Stemmons Suite 250                                                                          ,                                                                                                    ,Lewisville                         ,TX                  ,75067,    ,www.dcta.net                                                                                        ,6464,DCTA                     ,157,"234,552",N,                                                                                                                                                                                                        ,                                                                                                    ,          ,                                                                                                                                                                                                        ,                                                                                                                                                                                                        ,Y,N,N,196704782
